1 		Bob Dylan 	Like a Rolling Stone 	6:04 	95.6 	1965 	Rock 1960s 	POWERTRK_155-14 	(details...)
333 		Norman Greenbaum 	Spirit in the Sky 	4:01 	128.4 	1969 	TBD 	DTRANDOM_006-08 	(details...)
334 		The Rolling Stones 	Wild Horses 	5:45 	144.2 	1971 	TBD 	DTRANDOM_004-13 	(details...)
335 		The Velvet Underground 	Sweet Jane 	3:15 	105.6 	1998 	TBD 	DTRANDOM_007-22 	(details...)
336 		Aerosmith 	Walk This Way 	3:32 	108.0 	1975 	Rock 1980s 	AEROSMTH_GH1-04 	(details...)
337 		Michael Jackson 	Beat It 	4:19 	138.6 	1983 	Dance 1980s 	POWERTRK_056-06 	(details...)
338 		Wings 	Maybe I'm Amazed 	3:51 	160.9 	2001 	TBD 	HOTSTUFF_002-08 	(details...)
339 		The Supremes 	You Keep Me Hanging On 	2:41 	127.6 	1968 	TBD 	HOTSTUFF_024-02 	(details...)
340 		The Who 	Baba O'Riley 	5:07 	116.2 	1971 	Rock 1970s 	POWERTRK_143-15 	(details...)
341 		Jimmy Cliff 	The Harder They Come 	3:06 	98.8 	1972 	TBD 	DTRANDOM_002-12 	(details...)
342 		Dion 	Runaround Sue 	2:39 	157.6 	1961 	Rock 1960s 	POWERTRK_042-12 	(details...)
343 		LaVern Baker 	Jim Dandy 	2:13 	168.8 	1991 	TBD 	DTRANDOM_006-13 	(details...)
344 		Janis Joplin 	Piece of My Heart 	4:12 	158.4 	1968 	Rock 1960s 	POWERTRK_057-08 	(details...)
345 		Ritchie Valens 	La Bamba 	2:04 	151.5 	1959 	Rock 1950s 	POWERTRK_026-15 	(details...)
346 		2Pac 	California Love 	4:47 	91.5 	1996 	R&B 1990s 	ESSENTLS_013-17 	(details...)
347 		Elton John 	Candle in the Wind 	3:48 	124.7 	1974 	Rock 1970s 	ELTONJON_GH1-08 	(details...)
348 		The Isley Brothers 	That Lady (Part 1 & 2) 	5:34 	128.2 	1973 	TBD 	DTRANDOM_003-08 	(details...)
349 		Ben E. King 	Spanish Harlem 	2:48 	125.4 	1961 	Slow 	POWERTRK_137-17 	(details...)
350 		Little Eva 	Loco-Motion 	2:28 	127.5 	1962 	Rock 1960s 	POWERTRK_022-07 	(details...)
351 		The Platters 	Great Pretender 	2:39 	120.9 	1955 	Slow 	POWERTRK_024-08 	(details...)
352 		Elvis Presley 	All Shook Up 	2:00 	147.0 	1957 	Rock 1950s 	POWERTRK_017-11 	(details...)
353 		Eric Clapton 	Tears in Heaven 	4:32 	153.7 	1992 	Slow 	POWERTRK_010-09 	(details...)
354 		Elvis Costello 	Watching the Detective 	3:41 	134.6 	1978 	TBD 	HOTSTUFF_027-07 	(details...)
355 		Creedence Clearwater Revival 	Bad Moon Rising 	2:19 	89.7 	1969 	Rock 1960s 	POWERTRK_053-01 	(details...)
356 		Eurythmics 	Sweet Dreams 	4:53 	126.0 	1983 	Rock 1980s 	POWERTRK_047-07 	(details...)
357 		Jimi Hendrix 	Little Wing 	2:23 	141.6 	1993 	TBD 	DTRANDOM_003-15 	(details...)
358 		Martha Reeves & The Vandellas 	Nowhere to Run 	2:55 	129.2 	1965 	Dance 1960s 	POWERTRK_143-08 	(details...)
359 		Muddy Waters 	Got My Mojo Working 	2:50 	113.3 	1999 	TBD 	DTRANDOM_005-14 	(details...)
360 		Roberta Flack 	Killing Me Softly With His Song 	4:47 	121.8 	1973 	Slow 	POWERTRK_091-10 	(details...)
361 		The Clash 	Complete Control 	3:13 	87.4 	1977 	TBD 	DTRANDOM_009-09 	(details...)
362 		The Beatles 	All You Need Is Love 	3:48 	104.7 	1969 	Rock 1960s 	BEATLES__BLA-07 	(details...)
363 		Box Tops 	The Letter 	2:00 	138.2 	1967 	Rock 1960s 	POWERTRK_040-16 	(details...)
364 		Bob Dylan 	Highway 61 Revisited 	3:30 	136.8 	1965 	TBD 	DTRANDOM_002-06 	(details...)
365 		The Righteous Brothers 	Unchained Melody 	3:36 	100.8 	1966 	Slow 	POWERTRK_024-10 	(details...)
366 		Bee Gees 	How Deep Is Your Love 	4:00 	105.1 	1977 	Slow 	POWERTRK_145-12 	(details...)
367 		Cream 	White Room 	4:56 	110.2 	1968 	Rock 1960s 	POWERTRK_122-09 	(details...)
368 		Depeche Mode 	Personal Jesus 	5:48 	130.0 	1990 	Rock 1990s 	POWERTRK_086-13 	(details...)
369 		Bo Diddley 	I'm a Man 	3:02 	102.4 	1957 	TBD 	DTRANDOM_008-19 	(details...)
370 		Jimi Hendrix 	The Wind Cries Mary 	3:22 	153.8 	1972 	Rock 1970s 	JIMHNDRX_GH1-03 	(details...)
371 		The Who 	I Can't Explain 	2:03 	137.8 	1965 	Rock 1960s 	POWERTRK_134-02 	(details...)
372 		Television 	Marquee Moon 	10:40 	119.1 	1977 	TBD 	DTRANDOM_006-15 	(details...)
373 		Sam Cooke 	(What A) Wonderful World 	2:05 	128.8 	1960 	Rock 1960s 	POWERTRK_096-17 	(details...)
374 		Chuck Berry 	Brown-Eyed Handsome Man 	2:18 	90.5 	1957 	TBD 	DTRANDOM_001-03 	(details...)
375 		Pink Floyd 	Another Brick in the Wall (Part II) 	3:50 	104.1 	1980 	Rock 1980s 	POWERTRK_010-06 	(details...)
376 		Radiohead 	Fake Plastic Trees 	4:50 	147.2 	1995 	Rock 1990s 	BIGSHN90_01A-08 	(details...)
377 		Ray Charles 	Hit the Road Jack 	1:59 	86.4 	1961 	Rock 1960s 	POWERTRK_088-17 	(details...)
378 		U2 	Pride (In the Name of Love) 	3:46 	106.4 	1984 	Rock 1980s 	POWERTRK_053-05 	(details...)
379 		R.E.M. 	Radio Free Europe [Original Hib-Tone Single] 	3:49 	83.1 	1988 	Rock 1980s 	REM______GH1-01 	(details...)
380 		Elton John 	Goodbye Yellow Brick Road 	3:12 	120.3 	1973 	Slow 	POWERTRK_147-18 	(details...)
381 		Aaron Neville 	Tell It Like It Is 	2:38 	95.4 	1993 	TBD 	HOTSTUFF_019-02 	(details...)
382 		The Verve 	Bitter Sweet Symphony 	5:57 	85.5 	1997 	TBD 	HOTSTUFF_003-15 	(details...)
383 		The Allman Brothers Band 	Whipping Post 	5:22 	97.3 	1969 	TBD 	DTRANDOM_001-13 	(details...)
384 		The Beatles 	Ticket to Ride 	3:10 	123.9 	1966 	Rock 1960s 	BEATLES__RDA-12 	(details...)
385 		Crosby, Stills, Nash & Young 	Ohio 	3:06 	156.8 	1970 	TBD 	DTRANDOM_008-16 	(details...)
386 		Eric B. & Rakim 	I Know You Got Soul 	4:44 	104.1 	1987 	TBD 	DTRANDOM_005-11 	(details...)
387 		Elton John 	Tiny Dancer 	6:16 	145.4 	1992 	Rock 1980s 	ELTONJON_GH2-03 	(details...)
388 		The Police 	Roxanne 	3:11 	134.9 	1979 	Rock 1970s 	POWERTRK_009-02 	(details...)
389 		The Temptations 	Just My Imagination (Running Away With Me) 	3:50 	92.4 	1965 	Rock 1960s 	TEMPTTNS_G1B-10 	(details...)
390 		Four Tops 	Baby I Need Your Lovin' 	2:44 	121.4 	2005 	TBD 	HOTSTUFF_018-13 	(details...)
391 		Freda Payne 	Band of Gold 	2:53 	106.9 	1984 	Rock 1980s 	ESSENTLS_002-02 	(details...)
392 		Five Stairsteps 	O-O-H Child 	3:16 	89.0 	2001 	TBD 	DTRANDOM_007-19 	(details...)
393 		The Lovin' Spoonful 	Summer in the City 	2:37 	113.0 	1966 	Rock 1960s 	POWERTRK_035-07 	(details...)
394 		Elvis Presley 	Can't Help Falling in Love 	3:00 	114.2 	1961 	Slow 	POWERTRK_006-02 	(details...)
395 		The Shangri-Las 	Remember (Walking in the Sand) 	2:17 	110.7 	1987 	TBD 	DTRANDOM_007-03 	(details...)
396 		Big Star 	Thirteen 	2:34 	116.7 	1978 	TBD 	DTRANDOM_008-02 	(details...)
397 		Blue Oyster Cult 	(Don't Fear) the Reaper 	5:03 	141.5 	1976 	Rock 1970s 	POWERTRK_020-01 	(details...)
398 		Lynyrd Skynyrd 	Sweet Home Alabama 	4:44 	98.1 	1974 	Rock 1970s 	POWERTRK_036-15 	(details...)
399 		Metallica 	Enter Sandman 	5:31 	124.2 	1991 	Rock 1990s 	POWERTRK_027-07 	(details...)
400 		Paul Revere & The Raiders 	Kicks 	2:47 	128.0 	2000 	TBD 	DTRANDOM_001-11 	(details...)
401 		The Shirelles 	Tonight's the Night 	2:02 	117.4 	1961 	TBD 	DTRANDOM_006-06 	(details...)
402 		Sly & The Family Stone 	Thank You (Falettinme Be Mice Elf Agin) 	4:49 	105.5 	1970 	Dance 1970s 	POWERTRK_150-15 	(details...)
403 		Eddie Cochran 	C'Mon Everybody 	1:56 	87.8 	1959 	Rock 1950s 	POWERTRK_035-06 	(details...)
404 		Bob Dylan 	Visions of Johanna 	7:32 	102.8 	1985 	TBD 	DTRANDOM_008-14 	(details...)
405 		Carpenters 	We've Only Just Begun 	3:05 	89.6 	1970 	Easy 	POWERTRK_013-10 	(details...)
406 		R. Kelly 	I Believe I Can Fly 	4:41 	120.5 	1996 	TBD 	POBO1996_001-18 	(details...)
407 		Nirvana 	In Bloom 	4:15 	156.7 	2002 	TBD 	DTRANDOM_008-20 	(details...)
408 		Aerosmith 	Sweet Emotion 	4:35 	99.7 	1991 	Rock 1990s 	POWERTRK_064-02 	(details...)
409 		Cream 	Crossroads 	4:13 	131.6 	1994 	Rock 1980s 	ERICCLAP_GH1-05 	(details...)
410 		Pixies 	Monkey Gone to Heaven 	2:55 	116.5 	1989 	TBD 	DTRANDOM_004-04 	(details...)
411 		Donna Summer 	I Feel Love 	5:52 	126.7 	1977 	Disco 	POWERTRK_041-14 	(details...)
412 		Bobbie Gentry 	Ode to Billie Joe 	4:13 	120.1 	1967 	Country 	CNTRYTRK_001-02 	(details...)
413 		Little Richard 	The Girl Can't Help It 	2:33 	86.1 	1956 	TBD 	DTRANDOM_001-09 	(details...)
414 		The Coasters 	Young Blood 	2:25 	109.2 	1957 	TBD 	DTRANDOM_007-09 	(details...)
415 		Four Tops 	I Can't Help Myself 	2:44 	128.0 	1965 	Rock 1960s 	POWERTRK_017-04 	(details...)
416 		Don Henley 	Boys of Summer 	4:46 	88.5 	1984 	Rock 1980s 	POWERTRK_070-17 	(details...)
417 		N.W.A. 	Fuck Tha Police 	5:45 	98.6 	1989 	TBD 	DTRANDOM_001-08 	(details...)
418 		Crosby, Stills & Nash 	Suite: Judy Blue Eyes 	7:29 	143.0 	1971 	TBD 	DTRANDOM_003-09 	(details...)
419 		Dr. Dre 	Nuthin' but a 'G' Thang 	4:00 	94.7 	1993 	R&B 1990s 	POWERTRK_113-02 	(details...)
420 		The Isley Brothers 	It's Your Thing 	2:47 	92.7 	1984 	TBD 	DTRANDOM_007-18 	(details...)
421 		Billy Joel 	Piano Man 	5:37 	103.2 	1974 	Slow 	POWERTRK_073-05 	(details...)
422 		The Kinks 	Lola 	4:08 	149.4 	1970 	Rock 1970s 	POWERTRK_091-11 	(details...)
423 		Elvis Presley 	Blue Suede Shoes 	1:59 	95.6 	1956 	Rock 1950s 	POWERTRK_019-14 	(details...)
424 		The Rolling Stones 	Tumbling Dice 	3:39 	110.6 	1972 	TBD 	HOTSTUFF_023-18 	(details...)
425 		The Smiths 	William, It Was Really Nothing 	2:09 	131.0 	1984 	Rock 1970s 	SMITHS___GH1-02 	(details...)
426 		Deep Purple 	Smoke on the Water 	5:39 	114.0 	1973 	Rock 1970s 	POWERTRK_040-13 	(details...)
427 		U2 	New Year's Day 	5:35 	133.2 	1983 	Rock 1980s 	POWERTRK_001-03 	(details...)
428 		Mitch Ryder & The Detroit Wheels 	Devil With a Blue Dress on - Good Golly Miss Molly 	3:30 	159.0 	1966 	Rock 1960s 	POWERTRK_055-02 	(details...)
429 		Solomon Burke 	Everybody Needs Somebody to Love 	2:44 	149.8 	1964 	TBD 	DTRANDOM_008-03 	(details...)
430 		The Clash 	(White Man) in Hammersmith Palais 	4:01 	102.8 	1978 	TBD 	DTRANDOM_007-14 	(details...)
431 		Fats Domino 	Ain't That a Shame 	2:26 	123.2 	1955 	Rock 1950s 	POWERTRK_087-01 	(details...)
432 		Gladys Knight and The Pips 	Midnight Train to Georgia 	4:37 	90.8 	1973 	Dance 1970s 	POWERTRK_165-03 	(details...)
433 		Led Zeppelin 	Ramble On 	4:29 	99.1 	1969 	Rock 1960s 	POWERTRK_071-08 	(details...)
434 		Wilson Pickett 	Mustang Sally 	3:02 	110.0 	1966 	Rock 1960s 	POWERTRK_161-18 	(details...)
435 		The Rolling Stones 	Beast of Burden 	4:27 	100.9 	1978 	TBD 	HOTSTUFF_024-08 	(details...)
436 		Love 	Alone Again Or 	3:16 	114.1 	1967 	TBD 	DTRANDOM_004-17 	(details...)
437 		Elvis Presley 	Love Me Tender 	2:46 	108.3 	1956 	Slow 	POWERTRK_013-02 	(details...)
438 		The Stooges 	I Wanna Be Your Dog 	3:10 	120.9 	1969 	TBD 	DTRANDOM_005-07 	(details...)
439 		John Mellencamp 	Pink Houses 	4:45 	115.5 	1983 	Rock 1980s 	POWERTRK_162-09 	(details...)
440 		Salt 'N' Pepa 	Push It 	4:35 	128.1 	1987 	R&B 1980s 	POWERTRK_051-11 	(details...)
441 		The Dell-Vikings 	Come Go With Me 	2:39 	125.2 	1957 	Rock 1950s 	POWERTRK_009-15 	(details...)
442 		Little Richard 	Keep a Knockin' 	2:22 	119.9 	1958 	TBD 	DTRANDOM_008-18 	(details...)
443 		Bob Marley & The Wailers 	I Shot the Sheriff 	4:41 	96.7 	1975 	Reggae 	BOBMARLY_G1A-10 	(details...)
444 		Sonny & Cher 	I Got U Babe 	3:09 	110.4 	1965 	Rock 1960s 	POWERTRK_056-15 	(details...)
445 		Nirvana 	Come as You Are 	3:37 	120.9 	1991 	Rock 1990s 	POWERTRK_106-05 	(details...)
446 		Toots & The Maytals 	Pressure Drop 	3:44 	147.6 	1972 	TBD 	DTRANDOM_006-10 	(details...)
447 		The Shangri-Las 	Leader of the Pack 	2:51 	119.1 	1964 	Rock 1960s 	POWERTRK_111-17 	(details...)
448 		The Velvet Underground 	Heroin 	7:12 	131.8 	2005 	TBD 	DTRANDOM_002-15 	(details...)
449 		The Beatles 	Penny Lane 	3:01 	113.8 	1969 	Rock 1960s 	BEATLES__BLA-02 	(details...)
450 		Glen Campbell 	By the Time I Get to Phoenix 	2:46 	87.6 	2001 	TBD 	DTRANDOM_002-19 	(details...)
451 		Chubby Checker 	The Twist 	2:37 	155.5 	1961 	Rock 1960s 	POWERTRK_038-07 	(details...)
452 		Sam Cooke 	Cupid 	2:31 	120.1 	1960 	TBD 	DTRANDOM_004-08 	(details...)
453 		Guns N' Roses 	Paradise City 	6:46 	101.2 	1989 	Rock 1980s 	POWERTRK_003-09 	(details...)
454 		George Harrison 	My Sweet Lord 	4:38 	121.5 	1970 	Rock 1970s 	POWERTRK_099-01 	(details...)
455 		Nirvana 	All Apologies 	3:46 	116.4 	1993 	Rock 1990s 	POWERTRK_105-16 	(details...)
456 		Lloyd Price 	Stagger Lee 	2:21 	135.6 	1959 	Rock 1950s 	POWERTRK_040-17 	(details...)
457 		Ramones 	Sheena Is a Punk Rocker 	2:48 	88.1 	1977 	TBD 	DTRANDOM_001-15 	(details...)
458 		Sam & Dave 	Soul Man 	2:37 	112.6 	1967 	Dance 1960s 	POWERTRK_003-15 	(details...)
459 		Muddy Waters 	Rollin' Stone 	3:08 	84.8 	1988 	TBD 	DTRANDOM_005-08 	(details...)
460 		The Chiffons 	One Fine Day 	2:09 	89.4 	1963 	Easy 	1FINEDAY_ST1-13 	(details...)
461 		Prince 	Kiss 	3:47 	111.5 	1986 	Dance 1980s 	POWERTRK_013-03 	(details...)
462 		The Staple Singers 	Respect Yourself 	3:34 	109.9 	1990 	TBD 	DTRANDOM_001-07 	(details...)
463 		The Beatles 	Rain 	3:02 	105.5 	1988 	TBD 	DTRANDOM_003-01 	(details...)
464 		Four Tops 	Standing in the Shadows of Love 	2:39 	114.0 	1992 	TBD 	DTRANDOM_001-16 	(details...)
465 		Cheap Trick 	Surrender 	4:12 	134.7 	1978 	Rock 1980s 	CHPTRICK_GH1-09 	(details...)
466 		Del Shannon 	Runaway 	2:18 	152.1 	1961 	Rock 1960s 	POWERTRK_014-08 	(details...)
467 		Guns N' Roses 	Welcome to the Jungle 	4:32 	124.0 	1988 	Rock 1980s 	POWERTRK_067-09 	(details...)
468 		The Stooges 	Search And Destroy 	3:29 	107.4 	1973 	TBD 	DTRANDOM_007-07 	(details...)
469 		Carole King 	It's Too Late 	3:54 	103.5 	1971 	Slow 	POWERTRK_035-10 	(details...)
470 		Joni Mitchell 	Free Man in Paris 	3:03 	162.5 	1974 	TBD 	DTRANDOM_006-11 	(details...)
471 		Willie Nelson 	On the Road Again 	2:33 	110.5 	1980 	Country 	POWERTRK_024-14 	(details...)
472 		The Supremes 	Where Did Our Love Go 	2:32 	135.8 	1964 	Dance 1960s 	POWERTRK_025-06 	(details...)
473 		Aretha Franklin 	Do Right Woman - Do Right Man 	3:13 	131.4 	2002 	TBD 	DTRANDOM_002-05 	(details...)
474 		Funkadelic 	One Nation Under a Groove 	7:28 	122.4 	1978 	TBD 	DTRANDOM_002-09 	(details...)
475 		Beastie Boys 	Sabotage 	2:59 	84.0 	1994 	Rock 1990s 	POWERTRK_050-09 	(details...)
476 		Foreigner 	I Want to Know What Love Is 	5:00 	161.3 	1984 	Slow 	POWERTRK_028-10 	(details...)
477 		Rick James 	Super Freak 	3:25 	132.8 	1981 	Dance 1980s 	POWERTRK_006-05 	(details...)
478 		Jefferson Airplane 	White Rabbit 	2:32 	105.5 	1967 	Rock 1960s 	POWERTRK_034-12 	(details...)
479 		LaBelle 	Lady Marmalade 	3:16 	117.4 	1975 	Disco 	POWERTRK_003-01 	(details...)
480 		Van Morrison 	Into the Mystic 	3:27 	85.2 	1970 	Slow 	POWERTRK_130-10 	(details...)
481 		David Bowie 	Young Americans 	5:11 	85.0 	1975 	Rock 1970s 	POWERTRK_037-09 	(details...)
482 		Alice Cooper 	I'm Eighteen 	2:57 	97.9 	1971 	TBD 	DTRANDOM_001-01 	(details...)
483 		The Cure 	Just Like Heaven 	3:31 	151.7 	1987 	Rock 1980s 	POWERTRK_098-07 	(details...)
484 		Joan Jett & The Blackhearts 	I Love Rock 'N Roll 	2:55 	94.7 	1982 	Rock 1980s 	POWERTRK_018-13 	(details...)
485 		Paul Simon 	Graceland 	4:51 	117.9 	1986 	TBD 	DTRANDOM_007-04 	(details...)
486 		The Smiths 	How Soon Is Now? 	6:46 	95.4 	1984 	Rock 1980s 	POWERTRK_045-06 	(details...)
487 		The Drifters 	Under the Boardwalk 	2:40 	124.5 	1964 	Slow 	POWERTRK_038-01 	(details...)
488 		Fleetwood Mac 	Rhiannon 	4:11 	129.1 	1975 	Rock 1980s 	FLEETMAC_GH1-01 	(details...)
489 		Gloria Gaynor 	I Will Survive 	3:17 	117.1 	1979 	Disco 	POWERTRK_001-01 	(details...)
490 		The Rolling Stones 	Brown Sugar 	3:46 	128.3 	1971 	Rock 1970s 	ESSENTLS_011-09 	(details...)
491 		Dusty Springfield 	You Don't Have to Say You Love Me 	2:47 	111.9 	1966 	TBD 	HOTSTUFF_014-02 	(details...)
492 		Jackson Browne 	Running on Empty 	4:47 	136.5 	1996 	Rock 1990s 	POWERTRK_129-11 	(details...)
493 		The Crystals 	Then He Kissed Me 	2:28 	134.6 	1963 	Rock 1960s 	POWERTRK_032-16 	(details...)
494 		The Eagles 	Desperado 	3:32 	121.9 	1972 	Slow 	POWERTRK_007-06 	(details...)
495 		Smokey Robinson and The Miracles 	Shop Around 	2:44 	135.5 	1983 	Rock 1970s 	MOTOWN___G1B-02 	(details...)
496 		The Rolling Stones 	Miss You 	4:48 	110.3 	1978 	TBD 	HOTSTUFF_023-12 	(details...)
497 		Weezer 	Buddy Holly 	2:40 	121.2 	1994 	Rock 1990s 	POWERTRK_062-14 	(details...)
498 		Brook Benton 	Rainy Night in Georgia 	3:59 	137.3 	1970 	Slow 	POWERTRK_083-18 	(details...)
499 		Thin Lizzy 	The Boys Are Back in Town 	4:28 	120.6 	1976 	Rock 1970s 	POWERTRK_057-09 	(details...)
500 		Boston 	More Than a Feeling 	4:45 	109.0 	1976 	Rock 1970s 	POWERTRK_023-03 	(details...)
